,Year,Month #,Date,Overall Unemployment,Loss of Job Total,Loss of Job: On Layoff,Loss of Job: Not on Layoff,Number of Persons Quitting,Reentrants to Labor Force,New Entrants to Labor Force
0,2006,12,2006-12,7064,3349.0,864.0,2485.0,821.0,2261.0,616.0
1,2006,11,2006-11,7184,3366.0,890.0,2477.0,872.0,2316.0,711.0
2,2006,10,2006-10,7072,3399.0,912.0,2486.0,833.0,2174.0,636.0
3,2006,9,2006-9,7120,3505.0,886.0,2619.0,853.0,2172.0,591.0
4,2006,8,2006-8,6980,3473.0,930.0,2543.0,862.0,2135.0,517.0
5,2006,7,2006-7,7001,3369.0,1009.0,2360.0,828.0,2163.0,646.0
6,2006,6,2006-6,7175,3313.0,940.0,2373.0,850.0,2372.0,639.0
7,2006,5,2006-5,7091,3283.0,894.0,2389.0,854.0,2274.0,646.0
8,2006,4,2006-4,6847,3233.0,880.0,2352.0,790.0,2288.0,612.0
9,2006,3,2006-3,6727,3125.0,950.0,2175.0,779.0,2255.0,572.0
10,2006,2,2006-2,6872,3275.0,984.0,2291.0,788.0,2245.0,591.0
11,2006,1,2006-1,6762,3243.0,968.0,2275.0,785.0,2162.0,586.0
12,2007,12,2007-12,7116,3405.0,1021.0,2383.0,782.0,2199.0,622.0
13,2007,11,2007-11,6927,3395.0,1038.0,2358.0,846.0,2082.0,599.0
14,2007,10,2007-10,6731,3169.0,855.0,2315.0,771.0,2156.0,615.0
15,2007,9,2007-9,6850,3354.0,1000.0,2354.0,742.0,2162.0,620.0
16,2007,8,2007-8,6766,3360.0,963.0,2397.0,750.0,2155.0,530.0
17,2007,7,2007-7,6979,3383.0,884.0,2499.0,828.0,2113.0,640.0
18,2007,6,2007-6,7149,3675.0,1020.0,2655.0,826.0,2054.0,602.0
19,2007,5,2007-5,7067,3625.0,967.0,2657.0,797.0,2047.0,588.0
20,2007,4,2007-4,7170,3591.0,921.0,2671.0,833.0,2168.0,668.0
21,2007,3,2007-3,7237,3706.0,1048.0,2658.0,782.0,2086.0,696.0
22,2007,2,2007-2,7240,3683.0,992.0,2691.0,772.0,2163.0,678.0
23,2007,1,2007-1,7645,3871.0,965.0,2907.0,778.0,2334.0,679.0
24,2008,12,2008-12,7685,3851.0,1066.0,2785.0,823.0,2203.0,677.0
25,2008,11,2008-11,7497,3894.0,993.0,2901.0,796.0,2129.0,656.0
26,2008,10,2008-10,7822,4119.0,1074.0,3045.0,796.0,2121.0,704.0
27,2008,9,2008-9,7637,4067.0,1109.0,2958.0,847.0,2119.0,625.0
28,2008,8,2008-8,8395,4252.0,1071.0,3181.0,868.0,2493.0,797.0
29,2008,7,2008-7,8575,4390.0,1092.0,3298.0,859.0,2533.0,786.0
30,2008,6,2008-6,8937,4539.0,1074.0,3465.0,880.0,2662.0,835.0
31,2008,5,2008-5,9438,4942.0,1246.0,3696.0,1019.0,2655.0,821.0
32,2008,4,2008-4,9494,5257.0,1345.0,3912.0,995.0,2599.0,815.0
33,2008,3,2008-3,10074,5706.0,1325.0,4381.0,931.0,2623.0,819.0
34,2008,2,2008-2,10538,6228.0,1421.0,4807.0,927.0,2693.0,763.0
35,2008,1,2008-1,11286,6653.0,1505.0,5148.0,990.0,2826.0,803.0
36,2009,12,2009-12,12058,7450.0,1497.0,5953.0,901.0,2806.0,775.0
37,2009,11,2009-11,12898,8079.0,1519.0,6560.0,837.0,2939.0,999.0
38,2009,10,2009-10,13426,8539.0,1614.0,6926.0,882.0,3028.0,872.0
39,2009,9,2009-9,13853,8960.0,1684.0,7276.0,869.0,3107.0,901.0
40,2009,8,2009-8,14499,9421.0,1798.0,7623.0,904.0,3201.0,965.0
41,2009,7,2009-7,14707,9529.0,1712.0,7816.0,819.0,3331.0,1001.0
42,2009,6,2009-6,14601,9464.0,1713.0,7751.0,891.0,3260.0,1004.0
43,2009,5,2009-5,14814,9641.0,1654.0,7987.0,842.0,3282.0,1085.0
44,2009,4,2009-4,15009,9956.0,1894.0,8063.0,880.0,3262.0,1153.0
45,2009,3,2009-3,15352,9931.0,1672.0,8259.0,903.0,3411.0,1102.0
46,2009,2,2009-2,15219,9752.0,1522.0,8229.0,936.0,3236.0,1330.0
47,2009,1,2009-1,15098,9591.0,1496.0,8095.0,923.0,3371.0,1241.0
48,2010,12,2010-12,15046,9341.0,1463.0,7878.0,911.0,3650.0,1195.0
49,2010,11,2010-11,15113,9596.0,1575.0,8021.0,877.0,3469.0,1192.0
50,2010,10,2010-10,15202,9575.0,1668.0,7907.0,893.0,3591.0,1146.0
51,2010,9,2010-9,15325,9415.0,1391.0,8024.0,930.0,3772.0,1187.0
52,2010,8,2010-8,14849,9237.0,1469.0,7768.0,973.0,3388.0,1202.0
53,2010,7,2010-7,14474,9039.0,1353.0,7686.0,888.0,3300.0,1174.0
54,2010,6,2010-6,14512,8999.0,1194.0,7805.0,903.0,3377.0,1208.0
55,2010,5,2010-5,14648,9127.0,1444.0,7683.0,870.0,3372.0,1278.0
56,2010,4,2010-4,14579,9142.0,1338.0,7804.0,804.0,3399.0,1217.0
57,2010,3,2010-3,14516,8884.0,1272.0,7612.0,854.0,3481.0,1277.0
58,2010,2,2010-2,15081,9491.0,1442.0,8048.0,860.0,3445.0,1275.0
59,2010,1,2010-1,14348,8831.0,1374.0,7458.0,920.0,3379.0,1306.0
60,2011,12,2011-12,14013,8475.0,1224.0,7252.0,915.0,3358.0,1342.0
61,2011,11,2011-11,13820,8353.0,1302.0,7051.0,888.0,3348.0,1287.0
62,2011,10,2011-10,13737,8338.0,1250.0,7088.0,888.0,3317.0,1287.0
63,2011,9,2011-9,13957,8294.0,1289.0,7005.0,951.0,3416.0,1305.0
64,2011,8,2011-8,13855,8264.0,1247.0,7018.0,915.0,3379.0,1227.0
65,2011,7,2011-7,13962,8157.0,1183.0,6974.0,969.0,3514.0,1242.0
66,2011,6,2011-6,13763,8114.0,1179.0,6935.0,939.0,3383.0,1281.0
67,2011,5,2011-5,13818,8009.0,1181.0,6829.0,979.0,3520.0,1254.0
68,2011,4,2011-4,13948,8027.0,1203.0,6824.0,973.0,3470.0,1378.0
69,2011,3,2011-3,13594,7891.0,1247.0,6644.0,1086.0,3370.0,1287.0
70,2011,2,2011-2,13302,7651.0,1180.0,6471.0,1011.0,3357.0,1277.0
71,2011,1,2011-1,13093,7555.0,1238.0,6317.0,952.0,3359.0,1282.0
